x,y,landslide_id,label,Elevation,Slope,Aspect,Curvature,TRI,TWI,Rainfall,Dist_Streams,Dist_Roads,Dist_Faults,NDVI,BSI,Soil,Lithology,LULC,Geomorphon
286654.6826932354,3347321.6171857007,40513,1,749.2643,34.208862,227.2026,-0.0008601259,11.799513,9.676149,1422.9298,1910.0262,22316.936,85981.99,0.32673487,-0.008367386,3661,2,2,6
286733.64941082563,3348616.127558302,40290,1,1066.7128,35.804638,210.69974,0.006576028,14.562762,10.318858,1454.9335,3200.0,21888.93,85408.66,0.286155,0.04843417,3661,3,11,5
286878.6161927528,3348172.8500071936,40493,1,862.1498,30.987501,303.17853,0.002537859,11.287433,9.992593,1448.5242,2758.0066,21866.014,85747.72,0.27909112,0.044995584,3661,2,11,7
286907.93174607825,3348192.516225086,40477,1,863.4216,31.823366,300.37912,-0.0021666773,11.417558,9.351825,1449.7579,2775.8423,21831.78,85763.87,0.3231231,0.004942988,3661,2,11,7
286943.669811145,3348615.5465145125,39850,1,1093.9708,43.371178,258.23172,-0.0034887027,17.219362,7.188835,1460.2551,3193.0708,21685.41,85591.5,0.31313923,0.018335678,3661,3,2,5
286963.3708007041,3348583.1717620464,39849,1,1064.0063,46.54004,252.96225,-0.0032148259,20.544964,8.833936,1460.3496,3162.2776,21673.488,85623.664,0.27322575,0.05231686,3661,3,11,6
287102.5565176341,3348569.134199833,39835,1,1095.3828,38.169952,237.84772,-0.0005937967,14.399906,9.453119,1463.7634,3150.0,21540.441,85750.53,0.3373401,-0.0118271755,3661,3,11,6
287248.12056067743,3348481.906462794,39851,1,1090.7067,31.774643,247.24902,0.0038815925,11.393776,10.842724,1465.2985,3059.4282,21427.88,85916.67,0.25053176,0.075826846,3661,3,11,5
287306.36635818606,3347745.467644491,40476,1,900.1108,26.061153,226.54817,0.0017136235,8.622244,9.600659,1449.1459,2317.0024,21572.207,86334.44,0.32210103,0.012720761,3661,2,2,5
287313.2018877609,3348516.46938659,39852,1,1106.664,22.907337,345.96375,0.01570063,8.563912,10.928951,1468.0404,3094.6729,21349.97,85958.05,0.35303667,-0.011229231,3661,3,2,5
287325.16884278884,3348587.365680296,39853,1,1112.841,23.252966,337.75098,0.007251304,7.8161674,8.424218,1469.612,3164.048,21322.5,85932.47,0.33559218,-0.010708734,3661,3,2,5
287381.95760275086,3347632.789107193,40475,1,882.45825,26.229406,304.99203,0.010622692,9.001785,10.756857,1448.5209,2202.2715,21527.83,86458.555,0.30028275,0.028892681,3661,2,2,3
287453.9739940955,3347726.059304788,40474,1,895.87085,28.071806,293.7495,-0.002795483,9.562764,9.240979,1452.434,2290.1965,21434.494,86474.55,0.37122393,-0.038482558,3661,2,2,5
287502.67275097343,3347688.676588661,40458,1,883.4234,24.288002,253.30077,-0.004412709,8.437209,9.356376,1452.969,2260.0,21395.48,86532.84,0.3927296,-0.06098597,3661,2,2,3
287557.40836385323,3347616.6246543247,40457,1,859.8959,26.454918,236.88867,-0.00029782456,8.982855,9.899244,1452.5409,2190.0,21368.426,86611.016,0.26308772,0.06564766,3661,2,2,5
287604.8406598484,3348045.735783276,40680,1,864.4706,27.118267,304.28687,-0.010287254,9.367508,9.198183,1463.9011,2610.0,21199.201,86446.56,0.38151395,-0.04797243,3661,2,2,7
287621.7191894398,3347900.0726356986,40438,1,838.43243,45.357117,8.426971,-0.0047017406,18.515867,9.125279,1461.0366,2469.8179,21219.691,86533.055,0.3513872,-0.011647563,3661,2,2,7
287630.98701480834,3347545.62862029,40456,1,853.94385,27.457167,236.8215,0.0124754375,9.585616,10.330566,1452.6185,2110.0,21316.096,86720.195,0.33635587,-0.00038557968,3661,2,2,5
287627.1951943251,3347935.1674726955,40439,1,844.5086,43.365837,347.0926,-0.0027628713,17.338608,9.953474,1461.7588,2499.7,21211.115,86518.24,0.3960272,-0.068269104,3661,2,2,6
287641.71629076934,3347854.289952605,40437,1,838.73724,39.482147,42.95459,-0.004324655,14.838152,9.503948,1460.3365,2418.2844,21214.924,86575.164,0.3475277,-0.008059612,3661,2,2,6
287661.5451735722,3347784.663604537,40436,1,860.5706,31.874609,15.642242,0.0070196292,11.924585,9.938951,1459.1533,2346.9128,21216.129,86627.18,0.34885576,-0.00717433,3661,2,2,3
287677.5688518743,3348046.3083142224,40681,1,829.93353,31.21385,322.12503,-0.012444428,11.913005,7.9761734,1465.6711,2605.5518,21132.014,86507.47,0.39654326,-0.065578066,3661,3,11,7
287739.49428681534,3347751.288800555,40455,1,810.5732,45.883987,2.0454102,0.00063086033,17.545525,9.999178,1460.1895,2312.6174,21158.008,86702.85,0.43497878,-0.09825536,3661,2,2,6
287737.65884007496,3348057.1582689243,40669,1,830.2827,37.108864,271.59113,-0.0035393632,13.783098,9.815113,1467.671,2622.308,21068.81,86549.84,0.3114431,0.009480675,3661,3,11,7
287783.26421716955,3348217.384043708,40694,1,864.82355,37.204147,57.99463,0.007166039,14.8379545,9.169819,1472.8009,2780.6472,20976.332,86514.77,0.4921083,-0.15857002,3661,3,2,5
287759.58781310695,3348267.6100505707,40696,1,865.11053,52.220245,40.601288,0.0010746635,23.976257,9.93759,1473.2462,2831.4307,20991.523,86464.1,0.48368877,-0.14431322,3661,3,2,5
287785.42289252306,3348253.302842299,40695,1,843.80975,45.881893,55.007965,0.001231532,21.610588,9.132704,1473.5256,2810.6406,20968.113,86500.06,0.48760697,-0.14966154,3661,3,2,7
287811.85979047074,3348056.4868531767,40682,1,820.9523,37.71644,292.3062,0.0051696636,14.652106,10.724528,1469.6951,2620.1719,20992.047,86619.49,0.31153595,0.01346677,3661,3,11,6
287885.47773948906,3348138.9847786664,40683,1,815.1585,43.2245,340.82098,0.005854351,17.85043,9.610452,1473.403,2700.0,20902.404,86641.164,0.34240925,-0.009111803,3661,3,11,7
